Type  	Port	Time               	Call   	Group   	ID      	Clr	Enc	PTT	dBm
09	1	14.04.2013 20:18:43	3C     	8463773 	7109929 	3  	off	-  	-475
05	1	14.04.2013 20:18:43	D4     	4160025 	1754582 	6  	off	-  	-477
09	1	14.04.2013 20:18:43	AA     	16372173	7107054 	8  	off	-  	-477
0B	1	14.04.2013 20:18:44	CA     	11930397	5006528 	8  	off	1  	-478
09	1	14.04.2013 20:18:44	74     	7498299 	16670635	5  	off	-  	-478
09	1	14.04.2013 20:18:44	A4     	8282138 	4190462 	8  	off	-  	-478
09	1	14.04.2013 20:18:44	DE     	16479613	7737592 	14 	off	-  	-478
09	1	14.04.2013 20:18:44	C2     	16465034	4020364 	14 	off	-  	-476
09	1	14.04.2013 20:18:44	10     	6528146 	2957389 	12 	off	-  	-476
09	1	14.04.2013 20:18:45	D0     	16468943	2128008 	12 	off	-  	-477
05	1	14.04.2013 20:18:45	57     	1522185 	5034464 	15 	off	-  	-477
09	1	14.04.2013 20:18:47	C5     	2693693 	15498778	15 	off	-  	-477
05	1	14.04.2013 20:18:47	DD     	9638413 	5821415 	14 	off	-  	-477
09	1	14.04.2013 20:18:47	7A     	16345230	16609532	5  	off	-  	-475
09	1	14.04.2013 20:18:47	96     	11359289	10814910	15 	off	-  	-475
09	1	14.04.2013 20:18:48	9E     	12806249	12474506	9  	off	-  	-476
0B	1	14.04.2013 20:18:48	D5     	5372688 	4345896 	11 	off	1  	-476
09	1	14.04.2013 20:18:48	EA     	16329275	15785916	8  	off	-  	-476
09	1	14.04.2013 20:18:48	64     	7012735 	11753629	1  	off	-  	-479
0B	1	14.04.2013 20:18:48	91     	9484042 	1282279 	15 	off	1  	-476
09	1	14.04.2013 20:18:48	38     	1271979 	16592660	6  	off	-  	-476
09	1	14.04.2013 20:18:48	2B     	12088733	7838233 	5  	off	-  	-476
0B	1	14.04.2013 20:18:48	59     	5764685 	6210484 	9  	off	1  	-474
0B	1	14.04.2013 20:18:49	5B     	1520138 	6218210 	11 	off	1  	-477
0B	1	14.04.2013 20:18:49	98     	1571419 	1036390 	4  	off	1  	-477
05	1	14.04.2013 20:18:50	4D     	6168584 	4314197 	9  	off	-  	-474
09	1	14.04.2013 20:18:50	17     	16494139	15497480	0  	off	-  	-474
05	1	14.04.2013 20:18:50	17     	8598025 	14599590	5  	off	-  	-474
09	1	14.04.2013 20:18:50	64     	8156575 	13022652	2  	off	-  	-474
0B	1	14.04.2013 20:18:50	5F     	13613867	5812674 	13 	off	1  	-475
09	1	14.04.2013 20:18:50	D0     	5426235 	11952853	8  	off	-  	-475
08	1	14.04.2013 20:18:50	1B     	4325641 	5230967 	11 	off	-  	-475
0B	1	14.04.2013 20:18:51	8E     	1520136 	4640995 	14 	off	1  	-475
0B	1	14.04.2013 20:18:51	DF     	471705  	6017383 	14 	off	1  	-475
0B	1	14.04.2013 20:18:51	CB     	2041353 	13537767	5  	off	1  	-475
09	1	14.04.2013 20:18:51	F2     	16646203	15477816	15 	off	-  	-475
0B	1	14.04.2013 20:18:52	DF     	1712649 	4948399 	4  	off	1  	-475
0B	1	14.04.2013 20:18:52	DF     	6033176 	13611462	11 	off	1  	-476
09	1	14.04.2013 20:18:52	A4     	10162010	13053976	9  	off	-  	-476
09	1	14.04.2013 20:18:53	C6     	14437735	11851192	15 	off	-  	-478
0B	1	14.04.2013 20:18:53	D3     	1507977 	4878759 	14 	off	1  	-478
09	1	14.04.2013 20:18:53	64     	10559901	7631099 	14 	off	-  	-478
08	1	14.04.2013 20:18:53	CD     	10688131	5699978 	7  	off	-  	-478
09	1	14.04.2013 20:18:53	0C     	14358580	6129335 	5  	off	-  	-479
09	1	14.04.2013 20:19:04	F4     	3965341 	7207048 	8  	off	-  	-475
09	1	14.04.2013 20:19:04	62     	15453293	6735596 	1  	off	-  	-475
05	1	14.04.2013 20:19:05	4E     	5713419 	7389613 	2  	off	-  	-474
09	1	14.04.2013 20:19:05	62     	75165   	8062451 	8  	off	-  	-474
09	1	14.04.2013 20:19:05	56     	12659663	3566894 	12 	off	-  	-474
09	1	14.04.2013 20:19:06	24     	6367913 	2914444 	14 	off	-  	-477
09	1	14.04.2013 20:19:06	64     	7549194 	2914606 	10 	off	-  	-478
0B	1	14.04.2013 20:19:06	C7     	1397513 	5166305 	14 	off	1  	-478
09	1	14.04.2013 20:19:06	22     	15179131	11589051	14 	off	-  	-478
09	1	14.04.2013 20:19:07	6A     	2621849 	2528045 	5  	off	-  	-475
09	1	14.04.2013 20:19:07	C0     	10175085	13843950	5  	off	-  	-475
0B	1	14.04.2013 20:19:07	13     	1060873 	6213735 	15 	off	1  	-477
09	1	14.04.2013 20:19:07	66     	12678554	2912911 	9  	off	-  	-477
0B	1	14.04.2013 20:19:09	97     	10334985	4902919 	12 	off	1  	-476
0B	1	14.04.2013 20:19:09	DA     	9646667 	4427991 	14 	off	1  	-476
Stop
